Ano,Evento,time
2003,Campeão,Cruzeiro
2004,Campeão,Santos
2005,Campeão,Corinthians
2006,Campeão,Sao Paulo
2007,Campeão,Sao Paulo
2008,Campeão,Sao Paulo
2009,Campeão,Flamengo
2010,Campeão,Fluminense
2011,Campeão,Corinthians
2012,Campeão,Fluminense
2013,Campeão,Cruzeiro
2014,Campeão,Cruzeiro
2015,Campeão,Corinthians
2016,Campeão,Palmeiras
2017,Campeão,Corinthians
2018,Campeão,Palmeiras
2019,Campeão,Flamengo
2020,Campeão,Flamengo
2021,Campeão,Atletico-MG
2022,Campeão,Palmeiras
2023,Campeão,Palmeiras
2016,Acidente,Chapecoense
